"article","cluster_number","words"
"1.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"10.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"100.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"101.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"102.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"103.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"104.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"105.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"106.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"107.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"108.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"109.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"11.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"110.txt",7,"student, education, curriculum, faculty, skill, thinking, university, educator, teaching, learning"
"111.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"112.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"113.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"114.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"115.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"116.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"117.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"118.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"119.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"12.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"120.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"121.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"122.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"123.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"124.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"125.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"126.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"127.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"128.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"129.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"13.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"130.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"131.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"132.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"133.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"134.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"135.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"136.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"137.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"138.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"139.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"14.txt",7,"student, education, curriculum, faculty, skill, thinking, university, educator, teaching, learning"
"140.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"141.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"142.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"143.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"144.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"145.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"146.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"147.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"148.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"149.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"15.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"150.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"151.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"152.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"153.txt",7,"student, education, curriculum, faculty, skill, thinking, university, educator, teaching, learning"
"154.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"155.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"156.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"157.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"158.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"159.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"16.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"160.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"161.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"162.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"163.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"164.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"165.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"166.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"167.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"168.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"169.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"17.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"170.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"171.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"172.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"173.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"174.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"175.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"176.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"177.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"179.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"18.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"180.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"181.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"182.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"183.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"184.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"185.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"186.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"187.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"188.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"189.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"19.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"190.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"191.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"192.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"193.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"194.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"195.txt",7,"student, education, curriculum, faculty, skill, thinking, university, educator, teaching, learning"
"196.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"197.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"198.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"199.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"2.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"20.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"200.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"201.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"202.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"203.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"204.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"205.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"206.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"207.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"208.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"209.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"21.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"210.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"211.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"212.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"213.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"214.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"215.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"216.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"217.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"218.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"219.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"22.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"220.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"221.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"222.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"223.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"224.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"225.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"226.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"227.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"228.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"229.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"23.txt",7,"student, education, curriculum, faculty, skill, thinking, university, educator, teaching, learning"
"230.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"231.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"232.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"233.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"234.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"235.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"236.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"237.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"238.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"239.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"24.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"240.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"241.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"242.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"243.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"244.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"245.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"246.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"247.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"248.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"249.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"25.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"250.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"251.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"252.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"253.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"254.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"255.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"256.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"257.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"258.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"259.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"26.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"260.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"261.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"262.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"263.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"264.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"265.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"266.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"267.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"268.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"269.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"27.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"270.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"271.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"273.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"274.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"275.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"276.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"277.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"278.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"279.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"28.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"280.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"281.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"282.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"283.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"284.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"285.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"286.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"287.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"288.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"289.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"29.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"290.txt",6,"efficiency, energy, edge, system, optimization, overhead, solution, blockchain, challenge, architecture"
"291.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"292.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"293.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"294.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"295.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"296.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"297.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"298.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"299.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"3.txt",1,"application, care, data, bias, consideration, health, privacy, challenge, governance, tool"
"30.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"300.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"301.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"302.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"303.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"304.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"305.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"306.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
"307.txt",2,"model, design, framework, governance, policy, language, risk, system, technology, decision"
"308.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"309.txt",4,"information, healthcare, treatment, model, response, use, survey, concern, adoption, background"
"31.txt",5,"data, management, application, knowledge, model, system, challenge, language, security, domain"
"310.txt",8,"adoption, chain, innovation, supply, role, framework, integration, practice, challenge, enterprise"
"311.txt",9,"accuracy, model, performance, language, detection, dataset, datasets, data, experiment, learning"
"312.txt",3,"medium, climate, policy, sentiment, topic, model, opinion, change, language, content"
